month,member_count,casual_count,total_rides,classic_bike_count,electric_bike_count,docked_bike_count,average_ride_length,average_ride_length_casual,casual_classic_bike_count,casual_electric_bike_count,casual_docked_bike_count,average_ride_length_member,member_classic_bike_count,member_electric_bike_count,member_docked_bike_count
1,67523,12600,80123,54697,24488,938,710.8868988929471,1218.3355555555547,6895,4767,938,616.195414895674,47802,19721,0
2,34383,8606,42989,34634,7091,1264,1140.3132661843779,2153.0769230769174,5595,1747,1264,886.82043451705761,29039,5344,0
3,130048,75618,205666,152162,37870,15634,1284.3390643081327,2083.0731571848087,45356,14628,15634,819.90535802164982,106806,23242,0
4,177783,120388,298171,214125,59364,24682,1329.2071529424406,2028.3456656809599,70502,25204,24682,855.776694059611,143623,34160,0
5,234164,216767,450931,308329,99311,43291,1459.4132472595661,2106.2738055147111,123468,50008,43291,860.610601971268,184861,49303,0
6,304585,304079,608664,433783,123275,51606,1387.2788993599097,1927.0681895165296,187420,65053,51606,848.38634863831419,246363,58222,0
7,322902,369320,692222,505533,129078,57611,1320.7852264158244,1752.106132892884,240558,71151,57611,827.46082093019288,264975,57927,0
8,332916,341442,674358,501807,127513,45038,1243.4883563329659,1663.0604992941508,229150,67254,45038,813.17094402191947,272657,60259,0
9,328192,292899,621091,461054,124727,35310,1176.3364289613053,1611.6218525839968,194743,62846,35310,787.86058161076039,266311,61881,0
10,288855,189103,477958,315180,140103,22675,1038.523403730029,1523.74273808455,105129,61299,22675,720.86772255976518,210051,78804,0
11,185909,69950,255859,153611,94696,7552,823.83006265169718,1266.9710221586861,31702,30696,7552,657.09413207536522,121909,64000,0
12,131295,45067,176362,100272,71221,4869,806.40768419501046,1306.1371957308049,19686,20512,4869,634.8755626642278,80586,50709,0
