month,day_of_week,member_count,casual_count,total_rides,classic_bike_count,electric_bike_count,docked_bike_count,average_ride_length,average_ride_length_casual,casual_classic_bike_count,casual_electric_bike_count,casual_docked_bike_count,average_ride_length_member,member_classic_bike_count,member_electric_bike_count,member_docked_bike_count
1,1,6865,1700,8565,5764,2640,161,819.18388791593691,1461.4376470588229,933,606,161,660.14071376547622,4831,2034,0
5,1,35947,54109,90056,60775,17089,12192,1858.4407923958404,2425.8848620377439,31391,10526,12192,1004.2991070186648,29384,6563,0
12,1,11039,5549,16588,9649,6166,773,940.082830962141,1449.8233916020918,2598,2178,773,683.850348763473,7051,3988,0
6,1,38172,58795,96967,69809,16214,10944,1692.8600554827892,2165.7856790543287,37824,10027,10944,964.42921513150952,31985,6187,0
7,1,33420,59538,92958,68014,14488,10456,1603.2319219432422,1976.206926668674,39701,9381,10456,938.77393776181941,28313,5107,0
8,1,47758,73381,121139,91010,19647,10482,1498.7396131716462,1865.4473092489898,50712,12187,10482,935.286841995057,40298,7460,0
10,1,36837,40261,77098,52342,18862,5894,1337.7254144076387,1809.8708179131195,24182,10185,5894,821.69408475174612,28160,8677,0
11,1,19146,12229,31375,19004,10739,1632,1055.5276494023908,1562.2255294791064,5895,4702,1632,731.887809464118,13109,6037,0
4,1,22472,22862,45334,32042,7846,5446,1629.1915118895342,2267.8802379494432,13357,4059,5446,979.41838732645135,18685,3787,0
2,1,3528,1210,4738,3821,716,201,1212.6165048543705,1848.4314049586765,769,240,201,994.55073696145178,3052,476,0
3,1,16515,15924,32439,23588,5160,3691,1658.9442029655631,2390.6347651343817,9703,2530,3691,953.43766273085134,13885,2630,0
9,1,38688,57443,96131,71131,16806,8194,1511.2027961843696,1907.8034747488841,38966,10283,8194,922.33976943755329,32165,6523,0
2,2,3493,454,3947,3355,560,32,1013.2280212819861,1880.2356828193836,302,120,32,900.53936444317173,3053,440,0
12,2,17038,4927,21965,12698,8743,524,773.64985203733249,1324.6050334889378,2140,2263,524,614.32621199671394,10558,6480,0
10,2,32353,15575,47928,31905,14146,1877,941.80908863294883,1501.8934831460672,8157,5541,1877,672.17985967298409,23748,8605,0
11,2,33615,9382,42997,26444,15614,939,754.921203804918,1147.0901726710729,4226,4217,939,645.46622043730531,22218,11397,0
3,2,20606,10762,31368,23471,5533,2364,1334.6245218056654,2312.5580747073027,6347,2051,2364,823.87421139473747,17124,3482,0
9,2,41020,34751,75771,54956,16368,4447,1215.3380053054586,1721.8189692382934,22139,8165,4447,786.26145782545018,32817,8203,0
5,2,35561,28999,64560,44297,14166,6097,1413.8546313506827,2126.1149005138,15916,6986,6097,833.02632096960053,28381,7180,0
6,2,37422,28105,65527,46601,14290,4636,1245.9875471179803,1857.2425191247085,16495,6974,4636,786.91745497300633,30106,7316,0
1,2,10490,1609,12099,8237,3768,94,716.23770559550223,1338.9608452454936,857,658,94,620.72183031458621,7380,3110,0
7,2,39762,40361,80123,58015,15028,7080,1350.3573256118709,1876.9598870196503,25271,8010,7080,815.821689049844,32744,7018,0
8,2,51149,39852,91001,66559,19071,5371,1148.7192887990263,1636.5373130583093,25117,9364,5371,768.642964671845,41442,9707,0
4,2,24710,14056,38766,28548,7410,2808,1276.124980653155,2042.2039698349415,8288,2960,2808,840.34973694860378,20260,4450,0
10,3,45302,19045,64347,42409,20154,1784,877.24231121885634,1341.5934891047559,9779,7482,1784,682.02867423071825,32630,12672,0
2,3,5020,834,5854,4865,905,84,1077.8190980526122,2161.3117505995197,585,165,84,897.81254980079734,4280,740,0
7,3,44718,36727,81445,58972,17279,5194,1157.7156977101163,1620.2905219593206,22889,8644,5194,777.80189185562733,36083,8635,0
6,3,52406,38646,91052,64843,19845,6364,1233.4369700830237,1790.9571495109519,22647,9635,6364,822.302274548715,42196,10210,0
8,3,54309,37633,91942,66605,20734,4603,1065.6754366883506,1522.6131320915165,23400,9630,4603,749.04400743891688,43205,11104,0
5,3,28667,14988,43655,30373,10833,2449,1085.4546329171965,1712.0075393648215,8207,4332,2449,757.87326891547889,22166,6501,0
12,3,16827,3896,20723,11941,8507,275,697.222120349371,1115.7353696098544,1630,1991,275,600.32263623937536,10311,6516,0
