month,total_rides,start_station_name,lng,lat
1,383,Franklin St & Jackson Blvd,-87.635286742610987,41.877747455091381
1,461,Michigan Ave & Washington St,-87.624585365965288,41.883966045119308
1,77,California Ave & Division St,-87.6974844738961,41.9030239725974
1,95,Racine Ave & Randolph St,-87.656904060210536,41.88407041389474
1,369,State St & Randolph St,-87.627886487696486,41.884602866910562
1,112,Honore St & Division St,-87.673898029017877,41.903127963214281
1,462,Daley Center Plaza,-87.62959768,41.884176999502174
1,93,Greenview Ave & Jarvis Ave,-87.66858215505377,42.015967411935478
1,251,Clark St & Chicago Ave,-87.630871106494013,41.896724476055773
1,133,Loomis St & Jackson Blvd,-87.66200782917295,41.877942860225559
1,305,Racine Ave & Fullerton Ave,-87.658424903704955,41.925582400688512
1,85,Blackstone Ave & Hyde Park Blvd,-87.590359260000014,41.802563156117657
1,332,Sedgwick St & North Ave,-87.638682833734947,41.911370305271092
1,397,Canal St & Madison St,-87.639855724533973,41.882046369420664
1,408,Peoria St & Jackson Blvd,-87.649552474583317,41.877637956470572
1,101,Kedzie Ave & Milwaukee Ave,-87.707886944158417,41.929575888118805
1,140,Racine Ave & Belmont Ave,-87.658866337000021,41.939722887571428
1,90,State St & 35th St,-87.626803826333344,41.831039251333337
1,138,Western Ave & Winnebago Ave,-87.68703260543478,41.915551540869572
1,632,Wabash Ave & Grand Ave,-87.6267510004588,41.891439020253188
1,293,Millennium Park,-87.624084082320792,41.881052873720144
1,455,Broadway & Waveland Ave,-87.648626987494509,41.949072910813186
1,186,Wabash Ave & Adams St,-87.625708927849473,41.87947591854838
1,451,McClurg Ct & Erie St,-87.617977837206226,41.894532352749437
1,504,Broadway & Barry Ave,-87.644103373293646,41.937605398769833
1,779,Clinton St & Madison St,-87.641100705982055,41.882149502490385
1,345,Mies van der Rohe Way & Chicago Ave,-87.621742436608713,41.897016099246372
1,38,Smith Park,-87.689393007105281,41.892028483157894
1,144,Clarendon Ave & Leland Ave,-87.650003256319422,41.967965933680532
1,482,Green St & Madison St,-87.648797348755181,41.881887312676376
1,206,Southport Ave & Belmont Ave,-87.663767711796126,41.939446284126213
1,163,State St & Pearson St,-87.6287256390184,41.897454507239267
1,123,Damen Ave & Cortland St,-87.6773265288618,41.915987596504067
1,44,Indiana Ave & 26th St,-87.622491248181817,41.845691454318185
1,349,LaSalle Dr & Huron St,-87.632304903954179,41.894820073696259
1,370,Wilton Ave & Diversey Pkwy,-87.652695378324339,41.932426797486478
