total_rides,start_station_name,lng,lat
80336,Streeter Dr & Grand Ave,-87.612048646201131,41.892274332246714
42717,Michigan Ave & Oak St,-87.623765633060856,41.900969475747871
41603,Wells St & Concord Ln,-87.634701212356759,41.9121072398255
40489,Millennium Park,-87.624084672213669,41.881053443078471
39340,Clark St & Elm St,-87.631365484514035,41.902935454761312
35955,Wells St & Elm St,-87.6343848394477,41.903189611492294
35703,Theater on the Lake,-87.630852690110885,41.926272899409412
32422,Kingsbury St & Kinzie St,-87.638505843287476,41.889175768509247
31899,Clark St & Lincoln Ave,-87.634605375528764,41.915699630611762
31331,Clark St & Armitage Ave,-87.6362913505345,41.9183065682458
31299,Wabash Ave & Grand Ave,-87.626750592777825,41.891443375804805
30270,Dearborn St & Erie St,-87.629312411936553,41.894029241385084
29602,Wells St & Huron St,-87.634377111651219,41.894748319671507
28980,Broadway & Barry Ave,-87.644098989785007,41.937599482711882
28493,St. Clair St & Erie St,-87.622770148161962,41.894313749931776
28375,Indiana Ave & Roosevelt Rd,-87.623038611433373,41.867900800077621
27417,Shedd Aquarium,-87.615357715074524,41.8672312650297
26660,Larrabee St & Webster Ave,-87.644118897110943,41.921821191085129
26233,Wilton Ave & Belmont Ave,-87.653027933086136,41.940164483928612
26065,New St & Illinois St,-87.618519180101615,41.890826990867559
25747,Green St & Madison St,-87.648794844329615,41.881879967826229
25550,Wells St & Evergreen Ave,-87.634897367513958,41.906716579466625
25187,Fairbanks Ct & Grand Ave,-87.620605226165267,41.891873724882615
24723,Michigan Ave & Lake St,-87.6241804776145,41.885999083216547
24543,Desplaines St & Kinzie St,-87.64442559138358,41.888674000178256
24362,Michigan Ave & Washington St,-87.624589843905824,41.883968849194261
24158,Clark St & Wrightwood Ave,-87.643126649208057,41.929557644142683
24156,Lakeview Ave & Fullerton Pkwy,-87.638971010801342,41.925863937175485
24128,Lake Shore Dr & Monroe St,-87.616744787741354,41.880970032992686
24087,LaSalle St & Illinois St,-87.631685670592319,41.890768195793612
23952,Clinton St & Madison St,-87.641089820940977,41.882169665178154
23755,Ashland Ave & Division St,-87.667789253744985,41.903422623102145
23677,Wells St & Hubbard St,-87.634266372756656,41.889930854848913
23588,DuSable Lake Shore Dr & North Blvd,-87.626805501165975,41.911722126171036
23162,Dearborn Pkwy & Delaware Pl,-87.629904548101422,41.898958152326657
23149,Lincoln Ave & Fullerton Ave,-87.648966623105011,41.925729272443711
22841,Clark St & Drummond Pl,-87.644319213149728,41.931249069263153
22787,Lake Shore Dr & North Blvd,-87.626805812399454,41.911721736412936
22751,Columbus Dr & Randolph St,-87.619522137900731,41.884674265440573
22367,Wabash Ave & Roosevelt Rd,-87.625966622775508,41.867213486808993
21839,Clark St & Newport St,-87.654697215106324,41.944534593916188
21817,Clark St & Schiller St,-87.631516519286663,41.9079979659576
